"TARKIO MO - AG PARTNERS - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.46,-0.4975,-0.3325,-0.5225,
2,-0.38,-0.3975,-0.5025,-0.33,-0.52,-0.3475
3,-0.355,-0.4,-0.4525,-0.3275,-0.49,-0.3525
4,-0.33,-0.395,-0.4475,-0.3025,-0.5025,-0.3125
5,-0.3275,-0.4025,-0.5025,-0.3,-0.485,-0.35
6,-0.3275,-0.4025,-0.4975,-0.3,-0.4475,-0.3975
7,-0.2975,-0.3975,-0.4975,-0.3025,-0.4175,
8,-0.375,,-0.5,-0.305,,-0.47
9,-0.315,-0.5225,-0.57,-0.3525,-0.445,-0.455
10,-0.3225,-0.5175,-0.5725,-0.345,-0.42,-0.4975
11,-0.3175,-0.48,-0.575,-0.3525,-0.4175,-0.505
12,-0.3175,-0.455,-0.5675,-0.355,-0.38,-0.4975
13,-0.3175,-0.45,-0.5475,-0.3,,-0.5225
14,-0.3025,-0.43,-0.5,-0.295,-0.3825,-0.505
15,-0.2975,-0.4,-0.4775,-0.3575,-0.38,-0.495
16,-0.294,-0.375,-0.48,-0.3475,-0.355,-0.45
17,-0.3025,-0.44,-0.5475,-0.3475,-0.3075,-0.455
18,-0.295,-0.3975,-0.5025,-0.355,-0.3125,-0.455
19,-0.3175,-0.4025,-0.505,-0.345,-0.31,-0.445
20,-0.3375,-0.385,-0.5025,-0.3475,-0.305,-0.4525
21,-0.34,-0.3835,-0.495,-0.3475,-0.32,-0.45
22,-0.34,-0.3,-0.53,-0.4525,-0.3125,-0.345
23,-0.3425,-0.3025,-0.5275,-0.45,-0.3125,-0.35
24,-0.3375,-0.295,-0.5175,-0.4288,-0.3125,-0.2825
25,-0.3,-0.3325,-0.55,-0.395,-0.455,-0.3325
26,-0.3,-0.25,-0.585,-0.36,-0.415,-0.4025
27,-0.3013,-0.2325,-0.575,-0.355,-0.45,-0.395
28,-0.295,-0.2325,-0.5275,-0.3575,-0.4325,-0.4025
29,-0.3,-0.23,-0.505,-0.32,-0.3975,-0.42
30,-0.295,-0.2325,-0.4825,-0.315,-0.4025,-0.395
31,-0.2975,-0.225,-0.425,-0.3225,-0.4025,-0.4
32,-0.395,-0.2088,-0.4075,-0.315,-0.4625,-0.62
33,-0.4,-0.3825,-0.45,-0.3925,-0.405,-0.6175
34,-0.4025,-0.375,-0.455,-0.3975,-0.4,-0.4975
35,-0.4025,-0.3775,-0.45,-0.4,-0.43,-0.625
36,,-0.4,-0.45,-0.4025,-0.4025,-0.6225
37,,-0.3975,-0.4525,-0.4275,-0.3975,
38,,-0.3975,-0.45,-0.43,-0.4,
39,,-0.4025,-0.455,-0.495,-0.4,
40,,-0.38,-0.47,-0.52,-0.38,-0.6525
41,,-0.3525,,-0.5025,-0.395,-0.6375
42,,-0.35,-0.4725,-0.4975,-0.3825,-0.6525
43,,-0.3475,-0.4525,-0.505,-0.3475,-0.5525
44,,-0.355,-0.4513,-0.4675,-0.35,-0.59
45,,-0.4025,-0.5075,-0.5,-0.4025,-0.5975
46,,-0.4025,-0.51,-0.505,-0.3375,-0.6025
47,,-0.3975,-0.5125,-0.5025,-0.3325,-0.625
48,,-0.4025,-0.5075,-0.5025,-0.3325,
