"TARKIO MO - MILL 240 - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.2275,-0.4,-0.2475,
2,-0.28,-0.3975,-0.2825,
3,-0.28,-0.3,,
4,-0.28,-0.25,,
5,-0.2,-0.2825,-0.2925,
6,-0.1975,-0.2425,-0.3675,
7,-0.1975,-0.2575,-0.3975,-0.15
8,,-0.275,-0.4,-0.155
9,-0.245,-0.3525,-0.45,-0.2075
10,-0.245,-0.3475,-0.3725,-0.2375
11,-0.2525,-0.35,-0.305,-0.2475
12,-0.2175,-0.355,-0.2713,-0.255
13,-0.1775,-0.33,-0.2975,-0.315
14,-0.1775,-0.33,-0.3,-0.3175
15,-0.1825,-0.27,-0.2975,-0.2975
16,-0.1775,-0.265,-0.3,-0.3525
17,-0.164,-0.3,-0.3475,-0.35
18,-0.1425,-0.2975,-0.3525,-0.3488
19,-0.145,-0.3025,-0.275,-0.405
20,-0.2425,-0.295,-0.2963,-0.31
21,-0.2475,-0.3035,-0.345,
22,-0.25,-0.13,-0.35,
23,-0.35,-0.1325,-0.4475,
24,-0.3525,-0.065,-0.4475,
25,-0.2975,-0.1625,-0.5,
26,-0.2,-0.18,-0.555,
27,-0.1,-0.1525,-0.545,-0.2925
28,-0.0413,-0.1525,-0.5475,-0.2975
29,-0.045,-0.15,-0.455,-0.45
30,-0.1,-0.1525,-0.4525,-0.4525
31,-0.045,-0.145,-0.455,-0.4475
32,-0.0175,-0.2038,-0.4525,-0.44
33,,-0.3125,-0.42,-0.445
34,,-0.275,-0.415,-0.35
35,,-0.3575,-0.42,-0.3525
36,,-0.36,-0.45,-0.2975
37,,-0.3175,-0.4725,-0.305
38,,-0.3175,-0.5,-0.2375
39,,-0.3225,-0.505,-0.25
40,,-0.24,-0.45,-0.205
41,,-0.1525,-0.3525,-0.2225
42,,-0.15,-0.3525,-0.2525
43,,-0.1475,-0.3725,
44,,-0.115,-0.3113,
45,,-0.2325,-0.3975,
46,,-0.2325,-0.4,
47,,-0.2275,-0.4025,
48,,-0.2325,-0.3975,
