"TRENTON   MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4475,-0.5,-0.6475,-0.3525,-0.6025,-0.205
2,-0.45,-0.4975,-0.5525,-0.35,-0.6,-0.16
3,-0.45,-0.5,-0.5525,-0.3475,-0.59,-0.2475
4,-0.45,-0.475,-0.5975,-0.3525,-0.5925,-0.2338
5,-0.5,-0.5025,-0.6025,-0.35,-0.605,-0.2125
6,-0.4975,-0.5025,-0.6475,-0.35,-0.5875,-0.3
7,-0.3975,-0.4975,-0.6475,-0.3225,-0.5675,-0.2975
8,-0.3975,-0.455,-0.65,-0.355,-0.5275,-0.305
9,-0.455,-0.5025,-0.71,-0.3525,-0.605,-0.43
10,-0.455,-0.4975,-0.6525,-0.345,-0.55,-0.365
11,-0.4525,-0.5,-0.655,-0.3525,-0.4475,-0.3575
12,-0.4475,-0.505,-0.6213,-0.3675,-0.44,-0.405
13,-0.3975,-0.55,-0.5975,-0.38,-0.4175,-0.3475
14,-0.2975,-0.5,-0.55,-0.385,-0.4025,-0.4325
15,-0.3025,-0.5,-0.5475,-0.4075,-0.45,-0.455
16,-0.2975,-0.495,-0.5,-0.4475,-0.4213,-0.4575
17,-0.394,-0.69,-0.6375,-0.4475,-0.3475,-0.45
18,-0.3525,-0.6775,-0.5525,-0.455,-0.3025,-0.455
19,-0.355,,-0.545,-0.455,-0.3,-0.345
20,-0.3475,-0.5,-0.5513,-0.4475,-0.295,-0.245
21,-0.3975,-0.5535,-0.595,-0.4475,-0.31,-0.2325
22,-0.4,-0.5,-0.55,-0.5025,-0.3025,-0.3
23,-0.4,-0.5025,-0.5475,-0.6,-0.3025,-0.295
24,-0.4025,-0.505,-0.5475,-0.5488,-0.2925,-0.3
25,-0.3475,-0.4525,-0.6,-0.605,-0.455,-0.2825
26,-0.35,-0.45,-0.605,-0.55,-0.465,-0.3325
27,-0.2,-0.4525,-0.595,-0.545,-0.5,-0.3025
28,-0.2013,-0.4525,-0.5975,-0.5475,-0.4975,-0.345
29,-0.195,-0.55,-0.655,-0.55,-0.4475,-0.3525
30,-0.2,-0.5525,-0.6025,-0.545,-0.3625,-0.37
31,-0.205,-0.345,-0.605,-0.5525,-0.3625,-0.345
32,-0.1975,-0.3538,-0.6025,-0.555,-0.4725,-0.35
33,-0.425,-0.5025,-0.7,-0.5425,-0.505,-0.6
34,-0.35,-0.505,-0.695,-0.5975,-0.5,-0.4475
35,-0.3525,-0.4975,-0.68,-0.6,-0.53,-0.4475
36,-0.3525,-0.45,-0.6,-0.6025,-0.475,-0.645
37,,-0.4475,-0.6025,-0.6775,-0.4475,-0.7525
38,,-0.3975,-0.6,-0.61,-0.45,-0.7025
39,,-0.4025,-0.605,-0.595,-0.4,-0.695
40,,-0.425,-0.6,-0.6,-0.4,-0.7563
41,,-0.3525,-0.6525,-0.6025,-0.365,-0.8025
42,,-0.3,-0.6025,-0.5975,-0.3525,-0.7875
43,,-0.2975,-0.6025,-0.605,-0.2975,-0.8025
44,,-0.295,-0.6013,-0.5975,-0.3,-0.8025
45,,-0.4525,-0.5475,-0.65,-0.3525,-0.79
46,,-0.4025,-0.55,-0.645,-0.3375,-0.7975
47,,-0.3975,-0.5525,-0.6525,-0.3525,-0.7525
48,,-0.4025,-0.5475,-0.6525,-0.3525,-0.6325
